timestamp,asin,title,bsr,category,category_rank
2026-04-29 00:10:10.501363,B0FJ8TFSZ1,Fall Word Search,6413592,Word Search Games,31988
2026-04-29 00:10:10.501364,B0FJ8TFSZ1,Fall Word Search,6413592,Word Games (Books),34130
2026-04-29 00:10:27.603702,B0G4GQL5TG,Winter Word Search,9177913,Holidays (Books),1068
2026-04-29 00:10:27.603704,B0G4GQL5TG,Winter Word Search,9177913,Word Search Games,47483
2026-04-29 00:10:27.603705,B0G4GQL5TG,Winter Word Search,9177913,Word Games (Books),50148
2026-04-29 00:10:44.432518,B0G5Z47WY7,Christmas Word Search,9177435,Holidays (Books),1067
2026-04-29 00:10:44.432520,B0G5Z47WY7,Christmas Word Search,9177435,Word Search Games,47464
2026-04-29 00:10:44.432521,B0G5Z47WY7,Christmas Word Search,9177435,Word Games (Books),50128
2026-04-29 00:11:01.152923,B0D2HQ2N8G,Cryptids Word Search Large Print,,,
2026-04-29 00:11:18.140351,B0CVNHV3CV,Cryptids Word Search,3637902,Ancient & Controversial Knowledge,3868
2026-04-29 00:11:18.140354,B0CVNHV3CV,Cryptids Word Search,3637902,Unexplained Mysteries (Books),5109
2026-04-29 00:11:18.140354,B0CVNHV3CV,Cryptids Word Search,3637902,Word Search Games,16764
2026-04-29 00:11:34.770199,B0D429W5H1,Sasquatch Word Search,3823105,Unexplained Mysteries (Books),5326
2026-04-29 00:11:34.770201,B0D429W5H1,Sasquatch Word Search,3823105,Word Search Games,17670
2026-04-29 00:11:34.770202,B0D429W5H1,Sasquatch Word Search,3823105,Word Games (Books),19177
2026-04-29 00:11:51.532029,B0D429WWSQ,Sasquatch Word Search,1406364,Unexplained Mysteries (Books),2359
2026-04-29 00:11:51.532031,B0D429WWSQ,Sasquatch Word Search,1406364,Word Search Games,6154
2026-04-29 00:11:51.532032,B0D429WWSQ,Sasquatch Word Search,1406364,Word Games (Books),6884
2026-04-29 00:12:08.261004,B0D22PKCGW,Alien Word Search Large Print,3872302,UFOs (Books),3362
2026-04-29 00:12:08.261006,B0D22PKCGW,Alien Word Search Large Print,3872302,Ancient & Controversial Knowledge,4074
2026-04-29 00:12:08.261007,B0D22PKCGW,Alien Word Search Large Print,3872302,Word Search Games,17942
2026-04-29 00:12:25.031254,B0CTPR6KZ4,Alien Word Search,1323305,UFOs (Books),1483
2026-04-29 00:12:25.031256,B0CTPR6KZ4,Alien Word Search,1323305,Ancient & Controversial Knowledge,1699
2026-04-29 00:12:25.031257,B0CTPR6KZ4,Alien Word Search,1323305,Word Search Games,5824
2026-04-29 00:58:14.691347,B0D3XXY1HV,Witches Word Search Large Print,,,
2026-04-29 00:58:27.281657,B0G43ZNNRX,Weather Word Search Large Print,,,
2026-04-29 00:58:39.751085,B0D97NFBG2,Weather Word Search,1477414,Natural Disasters (Books),519
2026-04-29 00:58:39.751088,B0D97NFBG2,Weather Word Search,1477414,Weather (Books),725
2026-04-29 00:58:39.751089,B0D97NFBG2,Weather Word Search,1477414,Word Search Games,6408
2026-04-29 00:58:51.953722,B0D9B6HKC8,Space Word Search,8885948,Solar System (Books),807
2026-04-29 00:58:51.953725,B0D9B6HKC8,Space Word Search,8885948,Astronomy (Books),10206
2026-04-29 00:58:51.953726,B0D9B6HKC8,Space Word Search,8885948,Word Search Games,45257
2026-04-29 00:59:04.324883,B0D986WRQY,Ocean Word Search,,,
2026-04-29 00:59:16.760307,B0D9D6QJKD,Earth Science Word Search,,,
2026-04-29 00:59:29.022905,B0D9DRYQSH,Animal Word Search,,,
2026-04-29 00:59:41.239450,B0FPDF7GQV,Halloween Word Search,7451972,Holidays (Books),889
2026-04-29 00:59:41.239452,B0FPDF7GQV,Halloween Word Search,7451972,Customs & Traditions Social Sciences,5642
2026-04-29 00:59:41.239453,B0FPDF7GQV,Halloween Word Search,7451972,Ghosts & Hauntings,5869
2026-04-29 00:59:53.782552,B0DXP99LNN,Spring Word Search,5967044,Gardening & Landscape Design,26767
2026-04-29 00:59:53.782555,B0DXP99LNN,Spring Word Search,5967044,Word Search Games,29362
2026-04-29 00:59:53.782556,B0DXP99LNN,Spring Word Search,5967044,Word Games (Books),31388
2026-04-29 01:00:05.965124,B0F61TRMXM,Summer Word Search,,,
2026-04-29 01:00:18.172280,B0DTKGRKC2,Romance Word Search,8011071,Humorous Erotica (Books),22359
2026-04-29 01:00:18.172282,B0DTKGRKC2,Romance Word Search,8011071,Romantic Erotica (Books),36319
2026-04-29 01:00:18.172283,B0DTKGRKC2,Romance Word Search,8011071,Word Search Games,41012
2026-04-29 01:00:30.429903,B0DS5HPJ1M,Alien Adult Activity Book,527666,UFOs (Books),667
2026-04-29 01:00:30.429906,B0DS5HPJ1M,Alien Adult Activity Book,527666,Logic & Brain Teasers (Books),1382
2026-04-29 01:00:30.429907,B0DS5HPJ1M,Alien Adult Activity Book,527666,Puzzles (Books),2704
2026-04-29 01:00:42.790911,B0FJ8TFSZ1,Fall Word Search,6414289,Holidays (Books),772
2026-04-29 01:00:42.790913,B0FJ8TFSZ1,Fall Word Search,6414289,Word Search Games,31987
2026-04-29 01:00:42.790914,B0FJ8TFSZ1,Fall Word Search,6414289,Word Games (Books),34130
2026-04-29 01:00:54.973261,B0G4GQL5TG,Winter Word Search,9178593,Holidays (Books),1068
2026-04-29 01:00:54.973263,B0G4GQL5TG,Winter Word Search,9178593,Word Search Games,47481
2026-04-29 01:00:54.973263,B0G4GQL5TG,Winter Word Search,9178593,Word Games (Books),50147
2026-04-29 01:01:07.136675,B0G5Z47WY7,Christmas Word Search,9177435,Holidays (Books),1067
2026-04-29 01:01:07.136678,B0G5Z47WY7,Christmas Word Search,9177435,Word Search Games,47464
2026-04-29 01:01:07.136678,B0G5Z47WY7,Christmas Word Search,9177435,Word Games (Books),50128
2026-04-29 01:01:19.111199,B0D2HQ2N8G,Cryptids Word Search Large Print,,,
2026-04-29 01:01:31.284358,B0CVNHV3CV,Cryptids Word Search,3638613,Ancient & Controversial Knowledge,3868
2026-04-29 01:01:31.284362,B0CVNHV3CV,Cryptids Word Search,3638613,Unexplained Mysteries (Books),5109
2026-04-29 01:01:31.284362,B0CVNHV3CV,Cryptids Word Search,3638613,Word Search Games,16763
2026-04-29 01:01:43.445621,B0D429W5H1,Sasquatch Word Search,3823105,Unexplained Mysteries (Books),5326
2026-04-29 01:01:43.445625,B0D429W5H1,Sasquatch Word Search,3823105,Word Search Games,17670
2026-04-29 01:01:43.445626,B0D429W5H1,Sasquatch Word Search,3823105,Word Games (Books),19177
2026-04-29 01:01:55.575011,B0D429WWSQ,Sasquatch Word Search,1407100,Unexplained Mysteries (Books),2359
2026-04-29 01:01:55.575015,B0D429WWSQ,Sasquatch Word Search,1407100,Word Search Games,6153
2026-04-29 01:01:55.575016,B0D429WWSQ,Sasquatch Word Search,1407100,Word Games (Books),6884
2026-04-29 01:02:07.728286,B0D22PKCGW,Alien Word Search Large Print,3873012,UFOs (Books),3361
2026-04-29 01:02:07.728288,B0D22PKCGW,Alien Word Search Large Print,3873012,Ancient & Controversial Knowledge,4074
2026-04-29 01:02:07.728289,B0D22PKCGW,Alien Word Search Large Print,3873012,Word Search Games,17941
2026-04-29 01:02:19.954628,B0CTPR6KZ4,Alien Word Search,1323305,UFOs (Books),1483
2026-04-29 01:02:19.954635,B0CTPR6KZ4,Alien Word Search,1323305,Ancient & Controversial Knowledge,1699
2026-04-29 01:02:19.954636,B0CTPR6KZ4,Alien Word Search,1323305,Word Search Games,5824
2026-04-29 01:16:46.959533,B0CSZDC243,Haunted Word Search,,,
2026-04-29 01:17:00.079981,B0D3XXZRRC,Witches Word Search,5432916,Witchcraft Religion & Spirituality,6808
2026-04-29 01:17:00.079983,B0D3XXZRRC,Witches Word Search,5432916,Spiritualism,9546
2026-04-29 01:17:00.079984,B0D3XXZRRC,Witches Word Search,5432916,Word Search Games,26428
2026-04-29 01:17:12.651573,B0D3XXY1HV,Witches Word Search Large Print,,,
2026-04-29 01:17:25.199058,B0G43ZNNRX,Weather Word Search Large Print,,,
2026-04-29 01:17:37.769638,B0D97NFBG2,Weather Word Search,1477414,Natural Disasters (Books),519
2026-04-29 01:17:37.769641,B0D97NFBG2,Weather Word Search,1477414,Weather (Books),725
2026-04-29 01:17:37.769641,B0D97NFBG2,Weather Word Search,1477414,Word Search Games,6408
2026-04-29 01:17:50.248464,B0D9B6HKC8,Space Word Search,8885948,Solar System (Books),807
2026-04-29 01:17:50.248466,B0D9B6HKC8,Space Word Search,8885948,Astronomy (Books),10206
2026-04-29 01:17:50.248467,B0D9B6HKC8,Space Word Search,8885948,Word Search Games,45257
2026-04-29 01:18:03.226417,B0D986WRQY,Ocean Word Search,,,
2026-04-29 01:18:15.748229,B0D9D6QJKD,Earth Science Word Search,,,
2026-04-29 01:18:28.406693,B0D9DRYQSH,Animal Word Search,,,
2026-04-29 01:18:40.811023,B0FPDF7GQV,Halloween Word Search,7452659,Holidays (Books),889
2026-04-29 01:18:40.811025,B0FPDF7GQV,Halloween Word Search,7452659,Customs & Traditions Social Sciences,5642
2026-04-29 01:18:40.811026,B0FPDF7GQV,Halloween Word Search,7452659,Ghosts & Hauntings,5868
2026-04-29 01:18:53.364075,B0DXP99LNN,Spring Word Search,5967044,Gardening & Landscape Design,26767
2026-04-29 01:18:53.364080,B0DXP99LNN,Spring Word Search,5967044,Word Search Games,29362
2026-04-29 01:18:53.364081,B0DXP99LNN,Spring Word Search,5967044,Word Games (Books),31388
2026-04-29 01:19:06.069217,B0F61TRMXM,Summer Word Search,,,
2026-04-29 01:19:18.403139,B0DTKGRKC2,Romance Word Search,8011755,Humorous Erotica (Books),22360
2026-04-29 01:19:18.403141,B0DTKGRKC2,Romance Word Search,8011755,Romantic Erotica (Books),36314
2026-04-29 01:19:18.403142,B0DTKGRKC2,Romance Word Search,8011755,Word Search Games,41010
2026-04-29 01:19:30.999556,B0DS5HPJ1M,Alien Adult Activity Book,527666,UFOs (Books),667
